# persist.sys.fanctrl.by.temperatue=0, stock ladder disabled
epoch,step,phase,level_cmd,duty_cmd,adc,fan_rb,level_rb,led_status,pll,ddr,sar
1788606748,1,4:40,4,40,961,40,4,1,59100,62800,56000
1788606749,1,4:40,4,40,1015,40,4,1,61000,63100,56800
1788606751,1,4:40,4,40,1047,40,4,1,60200,62700,56600
1788606752,1,4:40,4,40,1073,40,4,1,60400,62300,56400
1788606753,1,4:40,4,40,1090,40,4,1,60200,62500,56600
1788606754,1,4:40,4,40,1098,40,4,1,60600,62500,56600
1788606756,1,4:40,4,40,1106,40,4,1,60900,62700,56700
1788606757,1,4:40,4,40,1115,40,4,1,60100,62700,56400
1788606758,1,4:40,4,40,1124,40,4,1,60900,63200,56800
1788606760,1,4:40,4,40,1130,40,4,1,60800,62900,56800
1788606761,1,4:40,4,40,1138,40,4,1,60500,62800,56800
1788606762,1,4:40,4,40,1143,40,4,1,60200,62500,56600
1788606764,1,4:40,4,40,1150,40,4,1,60700,63000,56700
1788606765,1,4:40,4,40,1157,40,4,1,60900,63200,56700
1788606766,1,4:40,4,40,1162,40,4,1,61000,63000,56600
1788606767,1,4:40,4,40,1169,40,4,1,60000,62600,56500
1788606769,1,4:40,4,40,1177,40,4,1,60600,63300,56600
1788606770,1,4:40,4,40,1178,40,4,1,60200,62900,56500
1788606771,1,4:40,4,40,1186,40,4,1,59800,62800,56200
1788606773,1,4:40,4,40,1190,40,4,1,60300,62500,56500
1788606774,1,4:40,4,40,1196,40,4,1,60500,62400,56400
1788606775,1,4:40,4,40,1196,40,4,1,59700,62000,56100
1788606776,1,4:40,4,40,1202,40,4,1,60400,62600,56400
1788606778,1,4:40,4,40,1207,40,4,1,60000,61900,56000
1788606779,1,4:40,4,40,1213,40,4,1,60200,62400,56100
1788606780,1,4:40,4,40,1218,40,4,1,59600,62400,56000
1788606782,1,4:40,4,40,1220,40,4,1,59900,61900,56000
1788606783,1,4:40,4,40,1224,40,4,1,59800,62400,56000
1788606784,1,4:40,4,40,1231,40,4,1,59900,61900,56000
1788606785,1,4:40,4,40,1233,40,4,1,59800,61900,55900
1788606787,1,4:40,4,40,1235,40,4,1,59700,62200,55900
1788606788,1,4:40,4,40,1242,40,4,1,59100,61800,55700
1788606789,1,4:40,4,40,1243,40,4,1,60200,62400,56200
1788606791,1,4:40,4,40,1249,40,4,1,59000,61400,55700
1788606792,1,4:40,4,40,1252,40,4,1,59200,61700,55500
1788606793,1,4:40,4,40,1257,40,4,1,59700,61800,55700
1788606795,1,4:40,4,40,1258,40,4,1,59200,62000,55600
1788606796,1,4:40,4,40,1261,40,4,1,58900,61000,55400
1788606797,1,4:40,4,40,1263,40,4,1,58900,61200,55200
1788606798,1,4:40,4,40,1266,40,4,1,59200,61800,55400
1788606800,1,4:40,4,40,1269,40,4,1,59200,61000,55300
1788606801,1,4:40,4,40,1274,40,4,1,59700,62000,55200
1788606802,1,4:40,4,40,1277,40,4,1,59200,61200,55300
1788606804,1,4:40,4,40,1280,40,4,1,59100,61600,55300
1788606805,1,4:40,4,40,1283,40,4,1,58800,61200,55200
1788606806,1,4:40,4,40,1286,40,4,1,58400,60700,55000
1788606807,1,4:40,4,40,1289,40,4,1,58300,60700,54900
