# persist.sys.fanctrl.by.temperatue=0, stock ladder disabled
epoch,step,phase,level_cmd,duty_cmd,adc,fan_rb,level_rb,led_status,pll,ddr,sar
1788593088,1,3:40,3,40,1145,40,3,1,48200,50200,45600
1788593089,1,3:40,3,40,1145,40,3,1,47400,50000,45600
1788593090,1,3:40,3,40,1143,40,3,1,47200,49900,45500
1788593091,1,3:40,3,40,1144,40,3,1,47300,49900,45600
1788593093,1,3:40,3,40,1146,40,3,1,47400,49900,45600
1788593094,1,3:40,3,40,1144,40,3,1,47600,49900,45600
1788593095,1,3:40,3,40,1146,40,3,1,47500,49900,45600
1788593096,1,3:40,3,40,1144,40,3,1,47800,50100,45600
1788593097,1,3:40,3,40,1145,40,3,1,47500,50100,45700
1788593099,1,3:40,3,40,1141,40,3,1,47900,50100,45700
1788593100,1,3:40,3,40,1142,40,3,1,47500,50000,45600
1788593101,1,3:40,3,40,1142,40,3,1,47200,50800,45600
1788593102,1,3:40,3,40,1137,40,3,1,47300,51100,45600
1788593104,1,3:40,3,40,1137,40,3,1,47900,50000,45700
1788593105,1,3:40,3,40,1136,40,3,1,47700,50100,45600
1788593106,1,3:40,3,40,1133,40,3,1,48000,50100,45700
1788593107,1,3:40,3,40,1134,40,3,1,47900,50100,45700
1788593108,1,3:40,3,40,1134,40,3,1,47600,50200,45700
1788593110,1,3:40,3,40,1128,40,3,1,47700,50100,45800
1788593111,1,3:40,3,40,1131,40,3,1,47600,50200,45800
1788593112,1,3:40,3,40,1127,40,3,1,48100,50100,45800
1788593113,1,3:40,3,40,1129,40,3,1,48000,50100,45800
1788593114,1,3:40,3,40,1125,40,3,1,47700,50200,45800
1788593116,1,3:40,3,40,1126,40,3,1,47700,50300,45800
1788593117,1,3:40,3,40,1123,40,3,1,48100,50300,45800
1788593118,1,3:40,3,40,1121,40,3,1,47900,50300,45900
1788593119,1,3:40,3,40,1125,40,3,1,47700,50400,45900
1788593121,1,3:40,3,40,1121,40,3,1,47800,50400,46000
1788593122,1,3:40,3,40,1118,40,3,1,47800,50400,46000
1788593123,1,3:40,3,40,1118,40,3,1,47700,50400,46000
1788593124,1,3:40,3,40,1117,40,3,1,47900,50400,45900
